time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
2.1000000000000014,1.01675624239,-0.289981695732,0.0,3.45635099402,3.46872429008,0.0,0.603367133722,-0.90969829837,-19.9194568078,-9.71680295699,17.0702264538,0.0,90.0125006617,572.318178473,328.740332365,314.179104093,13,105.0
2.1600000000000015,-0.512903209714,0.991875217884,0.0,5.50195771997,6.10946230289,0.0,-1.27665563731,0.671913754001,-18.8674420412,-16.7246066835,9.55199208023,0.0,21.1303539804,110.059552513,806.867143987,668.470087893,14,108.0
2.0400000000000014,5.5452890078,-0.311025028059,0.0,2.63559991156,6.16956406067,0.0,4.33535117618,1.58370983186,-21.1917008463,-18.7034002788,8.54970583204,0.0,5.23297398798,340.167301265,831.483943459,407.418571233,15,102.0
2.1000000000000014,-2.16897590044,0.115638456817,0.0,2.62554564891,5.89770665014,0.0,-0.494473315914,-0.00695227918891,-20.5843169339,-9.89175451315,5.02064357258,0.0,16.7910705155,101.134761039,885.548440446,882.736840338,16,105.0
2.1000000000000014,4.42232204327,0.119536805973,0.0,1.19035213454,3.19828495688,0.0,2.41618074422,-0.302140539288,-18.2167159883,-11.1098625145,11.1048492665,0.0,12.1009183966,495.40263298,593.920901872,323.24450383,17,105.0
2.0400000000000014,-14.8386492637,1.15432037337,0.0,0.709229877552,1.03219137094,0.0,-9.88642273183,0.347663252588,-20.5244543858,-27.7368977979,0.853235973482,0.0,20.4797172403,0.511557636617,900.422239034,322.347105912,18,102.0
2.0400000000000014,8.0438030289,-0.750259884761,0.0,1.13393280721,4.83725613672,0.0,6.57171344104,-2.99097375328,-20.6939868538,-2.86789299901,20.3462291715,0.0,0.585179610472,795.048337202,144.028401955,9.19334047758,19,102.0
2.1600000000000015,-12.8457280832,-2.77055477344,0.0,1.86390135758,1.17078042984,0.0,-7.93653561872,-1.94953236825,-18.4601109952,-26.3078744478,2.15599074188,0.0,36.6734360855,25.9578901584,898.333802893,239.133003705,20,108.0
2.1600000000000015,-12.5294441472,1.1609098709,0.0,4.3468152889,1.15396716162,0.0,-9.58485279706,0.189360292876,-20.3799531135,-28.4528418603,2.23279141434,0.0,3.91302401873,3.11702232887,898.191502996,108.180045932,21,108.0
2.2800000000000016,17.2726795312,21.0664616926,0.0,3.64544915378,1.7057983226,0.0,9.36228028599,11.4144846921,-20.1402537148,-3.91179631885,28.7671867795,0.0,-0.319450954741,898.417388337,2.9383989431,0.301733370017,22,114.0
2.1000000000000014,-12.0997634628,-0.250814840589,0.0,4.99379934712,0.0297939988251,0.0,-7.40284303114,-0.326345777991,-20.7735721274,-9.25737679431,2.24711537093,0.0,18.7188569587,19.9952347101,433.795287775,121.932913448,23,105.0
1.9800000000000013,-8.38969256447,-0.803308333561,0.0,3.65853293414,0.00649093304231,0.0,-7.29895724468,0.103396165884,-19.3586800044,-6.3032211715,1.88051709772,0.0,14.0665848206,28.7741680515,672.935370952,693.969894894,24,99.0
2.1000000000000014,0.112000086768,0.384580335294,0.0,3.69245354078,3.16805012682,0.0,1.73342235365,0.608728653154,-18.2795725684,7.61733178518,3.05707643404,0.0,8.45299256632,79.8607590467,735.572314543,779.043288576,25,105.0
